term,korean_label,english_gloss,part_of_speech,primary_axis,secondary_axes,descriptor_type,polarity,intensity,synonym_group,opposite_terms,example_phrases,mapped_existing_objects,candidate_objects,integration_status,notes
서늘한,서늘한,cool cold,adjective,temperature,,axis_descriptor,context_dependent,medium,cool_cold,따뜻한|포근한|뜨거운,차갑고 투명한|서늘하게 퍼지는|냉랭하고 금속적인,cold_metal|winter_dawn|cold_fog|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
차가운,차가운,cool cold,adjective,temperature,,axis_descriptor,context_dependent,medium,cool_cold,따뜻한|포근한|뜨거운,차갑고 투명한|서늘하게 퍼지는|냉랭하고 금속적인,cold_metal|winter_dawn|cold_fog|crystal,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
따뜻한,따뜻한,warm soft,adjective,temperature,,axis_descriptor,context_dependent,medium,warm_soft,차가운|냉랭한,따뜻하고 부드러운|포근하게 감싸는|온기 있게 남는,cashmere|warm_cotton|vanilla_cream,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
포근한,포근한,warm soft,adjective,temperature,,axis_descriptor,context_dependent,medium,warm_soft,차가운|냉랭한,따뜻하고 부드러운|포근하게 감싸는|온기 있게 남는,cashmere|warm_cotton|vanilla_cream,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
뜨거운,뜨거운,hot heat,adjective,temperature,,axis_descriptor,context_dependent,medium,hot_heat,식어 있는|서늘한,뜨겁게 퍼지는|열감이 남는|달아오른 표면 같은,summer_noon|burnt_sugar|charred_oak,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
열감 있는,열감 있는,hot heat,adjective,temperature,,axis_descriptor,context_dependent,medium,hot_heat,식어 있는|서늘한,뜨겁게 퍼지는|열감이 남는|달아오른 표면 같은,summer_noon|burnt_sugar|charred_oak,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
미지근한,미지근한,tepid flat,adjective,temperature,,axis_descriptor,context_dependent,medium,tepid_flat,차갑게 선명한|따뜻하게 감싸는,미지근하게 머무는|식어 있지만 날카롭지 않은|온도가 애매한,wet_stone|rainy_street,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
애매하게 식은,애매하게 식은,tepid flat,noun_phrase,temperature,,axis_descriptor,context_dependent,medium,tepid_flat,차갑게 선명한|따뜻하게 감싸는,미지근하게 머무는|식어 있지만 날카롭지 않은|온도가 애매한,wet_stone|rainy_street,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
식어 있는,식어 있는,cooled down,adjective,temperature,,axis_descriptor,context_dependent,medium,cooled_down,뜨거운|달아오른,식은 재처럼 남는|열이 빠져 조용한|차게 가라앉은 잔향,fireplace_ash|late_night_air|cold_fog,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
차게 가라앉은,차게 가라앉은,cooled down,noun_phrase,temperature,,axis_descriptor,context_dependent,medium,cooled_down,뜨거운|달아오른,식은 재처럼 남는|열이 빠져 조용한|차게 가라앉은 잔향,fireplace_ash|late_night_air|cold_fog,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
부드러운,부드러운,soft smooth,adjective,texture,,axis_descriptor,context_dependent,medium,soft_smooth,거친|까슬한,부드럽게 스치는|매끈하게 흐르는|실키하게 남는,silk|cashmere|vanilla_cream,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
매끈한,매끈한,soft smooth,adjective,texture,,axis_descriptor,context_dependent,medium,soft_smooth,거친|까슬한,부드럽게 스치는|매끈하게 흐르는|실키하게 남는,silk|cashmere|vanilla_cream,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
보송한,보송한,powdery dry,adjective,texture,,axis_descriptor,context_dependent,medium,powdery_dry,축축한|끈적한,보송하게 깔리는|가루처럼 부드러운|파우더리하게 흐려지는,suede|velvet|dry_herb,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
파우더리한,파우더리한,powdery dry,adjective,texture,,axis_descriptor,context_dependent,medium,powdery_dry,축축한|끈적한,보송하게 깔리는|가루처럼 부드러운|파우더리하게 흐려지는,suede|velvet|dry_herb,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
거친,거친,rough grainy,expression,texture,,axis_descriptor,context_dependent,medium,rough_grainy,매끈한|크리미한,거칠게 걸리는|까슬하게 남는|입자가 느껴지는,bark|granite|forest_floor,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
까슬한,까슬한,rough grainy,adjective,texture,,axis_descriptor,context_dependent,medium,rough_grainy,매끈한|크리미한,거칠게 걸리는|까슬하게 남는|입자가 느껴지는,bark|granite|forest_floor,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
끈적한,끈적한,sticky viscous,adjective,texture,,axis_descriptor,context_dependent,medium,sticky_viscous,보송한|가벼운,끈적하게 남는|점성 있게 흐르는|시럽처럼 감기는,honeycomb|burnt_sugar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
점성 있는,점성 있는,sticky viscous,adjective,texture,,axis_descriptor,context_dependent,medium,sticky_viscous,보송한|가벼운,끈적하게 남는|점성 있게 흐르는|시럽처럼 감기는,honeycomb|burnt_sugar,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
바삭한,바삭한,crisp brittle,adjective,texture,,axis_descriptor,context_dependent,medium,crisp_brittle,눅눅한|크리미한,아삭하게 꺾이는|바삭하게 끊기는|얇게 부서지는,citrus_peel|green_stem|butter_toast,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
아삭한,아삭한,crisp brittle,adjective,texture,,axis_descriptor,context_dependent,medium,crisp_brittle,눅눅한|크리미한,아삭하게 꺾이는|바삭하게 끊기는|얇게 부서지는,citrus_peel|green_stem|butter_toast,,axis_descriptor,일반 감각 descriptor이며 sensory object로 직접 병합하지 않는다.
